run_id,model,split,start_utc,end_utc,window_s_realtime,wall_s_monotonic_ledger,cases,all_pass,sum_case_wall_s_monotonic,sum_api_s_monotonic,in_tokens,out_tokens,cap_hits,cap_hit_wall_s,case_p50_s_monotonic,case_p50_s_realtime,case_p95_s_monotonic,cases_per_hour_realtime,monotonic_vs_realtime,gpu_mib_min,gpu_mib_max,note
R6-qwen35-train-pilot,qwen3.5-9b,train,2026-08-18T21:36:58Z,2026-08-18T22:23:40Z,2802.0,2583.2,36,13,2580.9,2572.1,107702,208219,10,1020.7,68.5,77.7,102.7,46.3,1.0866,6971,7891,
R6-qwen35-train-stab,qwen3.5-9b,train,2026-08-18T22:25:09Z,2026-08-18T22:40:37Z,928.0,853.7,12,5,852.8,848.8,36299,66727,3,313.4,71.1,84.2,104.4,46.6,1.089,7851,8044,
R6-qwen38-q3km-train-pilot,qwen3.8-27b-q3km,train,2026-08-18T22:44:03Z,2026-08-19T01:35:46Z,10303.0,9294.3,36,20,9291.9,9215.5,109070,248611,15,4443.6,288.6,320.9,311.7,12.6,1.1102,15181,15682,
R6-qwen38-udq3kxl-train-pilot,qwen3.8-27b-udq3kxl,train,2026-08-19T01:41:02Z,2026-08-19T03:39:35Z,7113.0,6520.7,36,16,6518.6,6467.1,109070,251699,18,3822.8,201.0,226.8,214.8,18.2,1.0912,14751,14773,
R6-qwen38-q3km-train-stab,qwen3.8-27b-q3km,train,2026-08-19T03:43:07Z,2026-08-19T04:30:36Z,2849.0,2567.4,12,8,2566.6,2553.1,36755,77978,4,1078.8,226.1,253.2,269.8,15.2,1.1103,15102,15113,
R6-bonsai-train-pilot,bonsai-27b,train,2026-08-19T04:33:25Z,2026-08-19T05:26:59Z,3214.0,2898.3,36,15,2896.2,2868.3,107702,166127,4,564.4,72.2,82.4,140.4,40.3,1.1093,9171,9178,
R6-bonsai-train-stab,bonsai-27b,train,2026-08-19T05:27:52Z,2026-08-19T05:38:33Z,641.0,,8,4,575.5,571.0,26379,32940,0,0.0,65.6,80.4,83.6,44.9,1.1184,9178,9178,no end line (interrupted by a 10-min tool timeout); end = last insert
R6-bonsai-train-stab,bonsai-27b,train,2026-08-19T05:39:07Z,2026-08-19T05:45:28Z,381.0,345.2,4,2,344.9,343.1,9920,20109,0,0.0,84.1,92.9,84.3,37.8,1.1044,9178,9178,
R6-qwen35-dev,qwen3.5-9b,dev,2026-08-19T06:06:05Z,2026-08-19T06:58:43Z,3158.0,2915.3,48,23,2912.4,2900.3,144084,271798,10,885.2,58.1,65.8,88.3,54.7,1.0842,7049,7147,
R6-qwen38-q3km-dev,qwen3.8-27b-q3km,dev,2026-08-19T06:59:38Z,2026-08-19T10:17:35Z,11877.0,10893.6,48,25,10890.9,10865.4,145908,325937,22,6028.2,263.3,294.3,279.4,14.5,1.0903,15013,15064,
R6-bonsai-dev,bonsai-27b,dev,2026-08-19T10:18:29Z,2026-08-19T11:31:43Z,4394.0,4066.8,48,21,4064.1,4031.5,144084,227139,4,584.1,79.5,86.5,145.0,39.3,1.0816,9111,9126,
R6-qwen38-q3km-test,qwen3.8-27b-q3km,test,2026-08-19T11:32:52Z,2026-08-19T18:15:53Z,24181.0,22337.0,96,47,22331.6,22294.7,290982,665540,47,12904.1,265.4,292.2,279.3,14.3,1.0828,15054,15186,
R6-bonsai-test,bonsai-27b,test,2026-08-19T18:17:09Z,2026-08-19T20:48:00Z,9051.0,8372.8,96,34,8366.9,8303.9,287334,432449,8,1249.8,76.8,86.6,150.6,38.2,1.0823,9238,10183,
