rank,model,run_id,scenario_id,class,wall_s_monotonic,api_s_monotonic,in_tokens,out_tokens,reasoning_chars,content_chars,cap_hit,stop_reason,model_turns,tool_calls,retry,server_restart,all_pass
1,qwen3.8-27b-q3km,R6-qwen38-q3km-train-pilot,S01-1000000,S01,367.7,367.4,3700,4000,11220,1973,False,stop,1,12,False,False,True
2,qwen3.8-27b-q3km,R6-qwen38-q3km-train-pilot,S02-1001001,S02,319.9,318.9,4116,8192,29160,0,True,length,1,12,False,False,False
3,qwen3.8-27b-q3km,R6-qwen38-q3km-train-pilot,S02-1000001,S02,311.7,310.6,4122,7881,24096,3075,False,stop,1,12,False,False,True
4,qwen3.8-27b-q3km,R6-qwen38-q3km-train-pilot,S05-1002004,S05,305.5,304.6,3272,8192,26325,1277,True,length,1,12,False,False,False
5,qwen3.8-27b-q3km,R6-qwen38-q3km-train-pilot,S02-1002001,S02,303.5,302.2,4021,8192,28256,0,True,length,1,12,False,False,False
6,qwen3.8-27b-q3km,R6-qwen38-q3km-train-pilot,S12-1000011,S12,298.1,294.2,2126,8192,33193,0,True,length,1,9,False,False,False
7,qwen3.8-27b-q3km,R6-qwen38-q3km-train-pilot,S11-1002010,S11,296.7,293.6,3562,8192,28514,0,True,length,1,12,False,False,False
8,qwen3.8-27b-q3km,R6-qwen38-q3km-train-pilot,S07-1000006,S07,295.7,291.4,4183,8192,28301,0,True,length,1,12,False,False,False
9,qwen3.8-27b-q3km,R6-qwen38-q3km-train-pilot,S06-1000005,S06,294.1,292.4,3635,8024,26515,1905,False,stop,1,12,False,False,True
10,qwen3.8-27b-q3km,R6-qwen38-q3km-train-pilot,S06-1001005,S06,293.9,293.5,3534,8192,29669,102,True,length,1,12,False,False,False
11,qwen3.8-27b-q3km,R6-qwen38-q3km-train-pilot,S12-1001011,S12,293.7,289.5,2123,8192,33920,0,True,length,1,9,False,False,False
12,qwen3.8-27b-q3km,R6-qwen38-q3km-train-pilot,S07-1002006,S07,293.6,289.3,4091,8192,29668,0,True,length,1,12,False,False,False
13,qwen3.8-27b-q3km,R6-qwen38-q3km-train-pilot,S11-1001010,S11,292.6,289.8,3568,8192,29821,0,True,length,1,12,False,False,False
14,qwen3.8-27b-q3km,R6-qwen38-q3km-train-pilot,S08-1002007,S08,291.3,288.2,3472,8192,30631,0,True,length,1,12,False,False,False
15,qwen3.8-27b-q3km,R6-qwen38-q3km-train-pilot,S11-1000010,S11,291.2,289.9,3569,8192,29638,0,True,length,1,12,False,False,False
16,qwen3.8-27b-q3km,R6-qwen38-q3km-train-pilot,S07-1001006,S07,290.1,285.8,4078,8192,31284,0,True,length,1,12,False,False,False
17,qwen3.8-27b-q3km,R6-qwen38-q3km-train-pilot,S10-1000009,S10,289.8,289.0,2481,8192,30294,0,True,length,1,11,False,False,False
18,qwen3.8-27b-q3km,R6-qwen38-q3km-train-pilot,S06-1002005,S06,289.2,287.7,3540,8125,29072,1637,False,stop,1,12,False,False,True
19,qwen3.8-27b-q3km,R6-qwen38-q3km-train-pilot,S10-1001009,S10,288.0,286.4,2480,8192,29339,0,True,length,1,11,False,False,False
20,qwen3.8-27b-q3km,R6-qwen38-q3km-train-pilot,S12-1002011,S12,285.5,281.1,2134,8072,30121,2519,False,stop,1,9,False,False,True
