scenario_id,class,pair_index,order,control_run_id,control_trace_id,control_stop_reason,control_pass,control_output_tokens,control_reasoning_chars,control_content_chars,control_input_tokens,control_wall_ms,control_ttft_ms,reconfirmed,treatment_run_id,treatment_trace_id,treatment_stop_reason,treatment_pass,treatment_parseable,treatment_output_tokens,treatment_reasoning_chars,treatment_content_chars,treatment_input_tokens,treatment_wall_ms,treatment_ttft_ms,treatment_cap,treatment_class,shape_verdict,shape_fired,shape_dup_rate,shape_tail_novelty,shape_distinct_hypotheses,shape_tail_new_evidence,input_tokens_equal,deterministic_rationale
S02-1001001,S02,0,AB,M0-qwen38-q3km-train-diag-ctrl8192,d6954237-9a3f-4310-b017-8b8105c831cb,length,False,8192,29160,0,4116,329135,3842,True,M0-qwen38-q3km-train-diag-treat12288,46c07acb-feef-4eef-934c-60b3092040ea,stop,True,True,10990,35226,2666,4116,440863,170,12288,a,,,,,,,True,treatment passed the deterministic scorer
S02-1002001,S02,1,BA,M0-qwen38-q3km-train-diag-ctrl8192,c8f86f57-54f7-41a8-ac8b-c4300e9757d9,length,False,8192,28256,0,4021,327310,145,True,M0-qwen38-q3km-train-diag-treat12288,276f9b8c-e6f2-4725-b3e7-4cec40477c9f,stop,True,True,11368,34663,3098,4021,459543,3637,12288,a,,,,,,,True,treatment passed the deterministic scorer
S05-1002004,S05,2,AB,M0-qwen38-q3km-train-diag-ctrl8192,06d0ec40-fba7-4709-8147-c96d8bd3878e,length,False,8192,26325,1277,3272,327455,3027,True,M0-qwen38-q3km-train-diag-treat12288,60094fc2-ac47-4475-9732-1b4043078831,stop,True,True,8846,26325,2971,3272,349780,172,12288,a,,,,,,,True,treatment passed the deterministic scorer
S06-1001005,S06,3,BA,M0-qwen38-q3km-train-diag-ctrl8192,8a047494-7709-4435-ad75-e1e67ef7d716,length,False,8192,29669,102,3534,325533,146,True,M0-qwen38-q3km-train-diag-treat12288,6ebec33c-5fe8-41f7-95b7-ee571eb02095,stop,True,True,8946,29669,1903,3534,360620,3307,12288,a,,,,,,,True,treatment passed the deterministic scorer
S07-1000006,S07,4,AB,M0-qwen38-q3km-train-diag-ctrl8192,d9b22774-4433-4271-8555-5b3b1dd59af2,length,False,8192,28301,0,4183,310077,4144,True,M0-qwen38-q3km-train-diag-treat12288,64279b40-83de-4442-8141-fb68c83cea60,length,False,False,12201,40510,344,4183,435787,146,12288,c,convergent,,0.1814,0.7611,12,True,True,still length-stopped; rubric convergent ([])
S07-1001006,S07,5,BA,M0-qwen38-q3km-train-diag-ctrl8192,b30a0e18-c042-4db2-8409-447327ac2de5,length,False,8192,31284,0,4078,287997,133,True,M0-qwen38-q3km-train-diag-treat12288,3ed8049a-d72e-4c33-8cc3-54f3d080d5d3,length,False,False,12288,45691,0,4078,443188,3356,12288,c,convergent,,0.2104,0.7333,12,True,True,still length-stopped; rubric convergent ([])
S07-1002006,S07,6,AB,M0-qwen38-q3km-train-diag-ctrl8192,8144e9ee-5d51-45f9-a6b8-f89f5bb9eb4b,length,False,8192,29668,0,4091,288189,3320,True,M0-qwen38-q3km-train-diag-treat12288,77f41200-c2f0-48a5-810d-d00cf6392d0e,length,False,False,12288,42366,1414,4091,433776,144,12288,c,convergent,,0.1617,0.8379,12,True,True,still length-stopped; rubric convergent ([])
S08-1002007,S08,7,BA,M0-qwen38-q3km-train-diag-ctrl8192,5d2cf078-03dd-46ac-bc2e-aad620ecbd67,length,False,8192,30631,0,3472,284696,154,True,M0-qwen38-q3km-train-diag-treat12288,203d0392-2c5a-49df-bd0b-eb6fbb04a5ec,stop,True,True,9247,31743,2358,3472,324783,2730,12288,a,,,,,,,True,treatment passed the deterministic scorer
S10-1000009,S10,8,AB,M0-qwen38-q3km-train-diag-ctrl8192,4e2a0b24-0c7d-4160-a32f-15ae3ceb9238,length,False,8192,30294,0,2481,284487,1826,True,M0-qwen38-q3km-train-diag-treat12288,ec4f687b-754f-40f8-a39c-d75335241cd3,stop,True,True,10652,34707,2409,2481,390831,154,12288,a,,,,,,,True,treatment passed the deterministic scorer
S10-1001009,S10,9,BA,M0-qwen38-q3km-train-diag-ctrl8192,fd6668c4-5191-48d4-9967-209f626b629d,length,False,8192,29339,0,2480,283580,140,True,M0-qwen38-q3km-train-diag-treat12288,f144cbbb-1f56-4f46-8c1f-ab423e17e0b0,stop,True,True,11573,36737,3404,2480,432740,1990,12288,a,,,,,,,True,treatment passed the deterministic scorer
